FileName,WER,NO. of  expected chars,NO. of actual chars,NO. Added chars,NO. Missing chars,levenshtein Distance,Proportional Lev
arctic_a0067,0.4583333333333333,24,27,9,6,16,0.6666666666666666
arctic_a0099,0.3793103448275862,29,27,8,10,13,0.4482758620689655
arctic_a0073,0.3488372093023256,43,43,11,11,19,0.4418604651162791
arctic_a0102,0.5714285714285714,14,14,6,6,10,0.7142857142857143
arctic_a0010,0.20930232558139536,43,44,8,7,12,0.27906976744186046
arctic_a0126,0.21875,32,32,6,6,8,0.25
arctic_a0085,0.4,30,29,7,8,18,0.6
arctic_a0026,0.2222222222222222,36,34,4,6,13,0.3611111111111111
arctic_b0143,0.4482758620689655,29,29,11,11,18,0.6206896551724138
arctic_a0137,0.3225806451612903,31,31,8,8,14,0.45161290322580644
arctic_a0062,0.4583333333333333,24,24,8,8,18,0.75
arctic_a0022,0.3392857142857143,56,58,13,11,24,0.42857142857142855
arctic_b0192,0.5135135135135135,37,39,18,16,23,0.6216216216216216
arctic_a0078,0.36,25,26,6,5,14,0.56
arctic_a0542,0.35135135135135137,37,37,12,12,16,0.43243243243243246
arctic_a0375,0.2982456140350877,57,59,14,12,24,0.42105263157894735
arctic_a0116,0.3953488372093023,43,43,13,13,25,0.5813953488372093
arctic_a0088,0.3125,48,48,12,12,19,0.3958333333333333
arctic_a0032,0.2127659574468085,47,45,6,8,14,0.2978723404255319
arctic_a0082,0.20833333333333334,24,22,3,5,9,0.375
arctic_a0097,0.2978723404255319,47,48,11,10,18,0.3829787234042553
arctic_a0006,0.4864864864864865,37,36,13,14,24,0.6486486486486487
arctic_a0003,0.275,40,41,10,9,15,0.375
arctic_a0123,0.26666666666666666,30,30,5,5,14,0.4666666666666667
arctic_a0271,0.45161290322580644,31,35,14,10,20,0.6451612903225806
arctic_a0113,0.2894736842105263,38,36,6,8,15,0.39473684210526316
arctic_a0075,0.4642857142857143,28,30,10,8,17,0.6071428571428571
arctic_a0303,0.4358974358974359,39,36,11,14,22,0.5641025641025641
arctic_a0145,0.25,36,36,6,6,12,0.3333333333333333
arctic_a0090,0.4166666666666667,24,25,9,8,14,0.5833333333333334
arctic_a0029,0.40540540540540543,37,34,9,12,23,0.6216216216216216
arctic_a0076,0.37037037037037035,27,27,8,8,13,0.48148148148148145
arctic_b0106,0.35135135135135137,37,40,10,7,18,0.4864864864864865
arctic_a0019,0.3829787234042553,47,48,17,16,22,0.46808510638297873
arctic_a0048,0.17857142857142858,28,28,4,4,8,0.2857142857142857
arctic_b0225,0.3888888888888889,36,36,8,8,20,0.5555555555555556
arctic_b0503,0.3170731707317073,41,42,10,9,21,0.5121951219512195
arctic_a0139,0.24528301886792453,53,54,9,8,16,0.3018867924528302
arctic_a0060,0.21739130434782608,23,22,4,5,9,0.391304347826087
arctic_a0047,0.46153846153846156,39,39,11,11,23,0.5897435897435898
arctic_b0197,0.3333333333333333,30,32,10,8,15,0.5
arctic_a0045,0.2413793103448276,29,31,7,5,11,0.3793103448275862
arctic_a0098,0.36363636363636365,11,9,1,3,8,0.7272727272727273
arctic_a0071,0.4,30,28,9,11,16,0.5333333333333333
arctic_b0386,0.3111111111111111,45,46,12,11,21,0.4666666666666667
arctic_a0127,0.41935483870967744,31,27,6,10,18,0.5806451612903226
arctic_a0130,0.375,16,16,5,5,8,0.5
arctic_a0058,0.2391304347826087,46,48,9,7,18,0.391304347826087
arctic_a0063,0.37037037037037035,27,26,7,8,14,0.5185185185185185
arctic_a0365,0.42857142857142855,28,29,10,9,18,0.6428571428571429
arctic_a0092,0.325,40,42,12,10,18,0.45
arctic_a0121,0.2857142857142857,35,32,6,9,14,0.4
arctic_a0379,0.46153846153846156,13,13,5,5,10,0.7692307692307693
arctic_b0215,0.37037037037037035,27,31,9,5,16,0.5925925925925926
arctic_a0013,0.22448979591836735,49,50,9,8,15,0.30612244897959184
arctic_a0209,0.5925925925925926,27,31,13,9,24,0.8888888888888888
arctic_a0064,0.3170731707317073,41,38,9,12,17,0.4146341463414634
arctic_a0021,0.2,30,28,4,6,9,0.3
arctic_a0103,0.375,32,34,10,8,18,0.5625
arctic_a0106,0.4782608695652174,46,43,8,11,35,0.7608695652173914
arctic_a0109,0.35294117647058826,34,32,9,11,18,0.5294117647058824
arctic_a0369,0.34782608695652173,46,46,15,15,19,0.41304347826086957
arctic_b0342,0.14634146341463414,41,42,5,4,7,0.17073170731707318
arctic_b0469,0.3142857142857143,35,34,8,9,14,0.4
arctic_a0038,0.45,20,19,7,8,11,0.55
arctic_a0112,0.4117647058823529,17,15,5,7,11,0.6470588235294118
arctic_a0272,0.375,24,25,9,8,12,0.5
arctic_a0020,0.375,40,36,10,14,21,0.525
arctic_a0260,0.2972972972972973,37,40,8,5,15,0.40540540540540543
arctic_a0008,0.4166666666666667,24,23,8,9,12,0.5
arctic_a0024,0.2916666666666667,48,49,9,8,20,0.4166666666666667
arctic_a0091,0.37037037037037035,27,28,7,6,15,0.5555555555555556
arctic_a0018,0.8,15,13,8,10,17,1.1333333333333333
arctic_a0136,0.2,45,44,8,9,11,0.24444444444444444
arctic_b0425,0.29411764705882354,34,35,8,7,15,0.4411764705882353
arctic_a0011,0.32432432432432434,37,38,10,9,15,0.40540540540540543
arctic_a0384,0.43333333333333335,30,33,11,8,19,0.6333333333333333
arctic_a0111,0.2926829268292683,41,44,12,9,17,0.4146341463414634
arctic_a0059,0.28,25,25,7,7,11,0.44
arctic_b0315,0.4117647058823529,34,38,13,9,21,0.6176470588235294
arctic_a0131,0.2,35,34,5,6,12,0.34285714285714286
arctic_a0086,0.4444444444444444,27,28,9,8,18,0.6666666666666666
arctic_a0168,0.2647058823529412,34,38,8,4,15,0.4411764705882353
arctic_a0051,0.28,50,51,12,11,20,0.4
arctic_a0122,0.37142857142857144,35,37,12,10,17,0.4857142857142857
arctic_a0120,0.5384615384615384,39,38,12,13,28,0.717948717948718
arctic_a0178,0.47619047619047616,42,46,17,13,29,0.6904761904761905
arctic_a0023,0.25675675675675674,74,73,13,14,25,0.33783783783783783
arctic_a0104,0.21428571428571427,42,44,7,5,14,0.3333333333333333
arctic_a0037,0.3448275862068966,29,29,7,7,13,0.4482758620689655
arctic_b0019,0.3548387096774194,31,33,8,6,15,0.4838709677419355
arctic_b0022,0.45454545454545453,33,35,12,10,22,0.6666666666666666
arctic_a0065,0.3,40,38,9,11,16,0.4
arctic_b0304,0.2708333333333333,48,48,10,10,16,0.3333333333333333
arctic_a0416,0.5641025641025641,39,33,11,17,32,0.8205128205128205
arctic_a0105,0.38095238095238093,42,42,12,12,22,0.5238095238095238
arctic_b0047,0.3333333333333333,27,28,7,6,12,0.4444444444444444
arctic_a0129,0.2608695652173913,23,22,4,5,9,0.391304347826087
arctic_a0258,0.25925925925925924,27,29,7,5,11,0.4074074074074074
arctic_a0475,0.25,36,34,5,7,17,0.4722222222222222
arctic_a0144,0.5116279069767442,43,47,16,12,27,0.627906976744186
arctic_a0046,0.3055555555555556,36,36,8,8,13,0.3611111111111111
arctic_b0355,0.4117647058823529,51,53,19,17,27,0.5294117647058824
arctic_a0345,0.25,36,36,7,7,14,0.3888888888888889
arctic_a0115,0.2619047619047619,42,42,10,10,16,0.38095238095238093
arctic_a0100,0.375,16,15,5,6,8,0.5
arctic_a0052,0.375,24,23,8,9,11,0.4583333333333333
arctic_b0518,0.3235294117647059,34,37,10,7,17,0.5
arctic_a0081,0.2857142857142857,21,21,5,5,9,0.42857142857142855
arctic_a0036,0.2222222222222222,18,18,4,4,7,0.3888888888888889
arctic_a0107,0.391304347826087,23,26,8,5,16,0.6956521739130435
arctic_a0025,0.4,40,37,9,12,18,0.45
arctic_a0005,0.4666666666666667,15,12,4,7,11,0.7333333333333333
arctic_b0068,0.45454545454545453,33,34,13,12,20,0.6060606060606061
arctic_b0266,0.2727272727272727,33,36,8,5,15,0.45454545454545453
